feature,outer_fold_count,mean_z_score,mean_abs_z_score,positive_fold_fraction,mean_ranking_score,best_rank,mean_rank,mean_document_frequency,mean_source_sign_agreement,mean_subsample_sign_agreement,mean_subsample_top_pool_frequency,direction_consistency,stable_relevance_score
complexity --- subjective,5,1.6052111469388073,1.6052111469388073,1.0,0.4720678307354911,1149,4609.2,66.4,1.0,0.9933333333333334,0.04666666666666667,1.0,0.4720678307354911
authorization,5,1.6747522782593716,1.6747522782593716,1.0,0.472063252229329,805,4496.8,78.4,1.0,0.9800000000000001,0.03333333333333333,1.0,0.472063252229329
in bowel,5,1.6584023326125021,1.6584023326125021,1.0,0.4719892721602109,1212,4613.0,589.6,1.0,0.9733333333333334,0.04,1.0,0.4719892721602109
2 nausea 1,5,-1.6932248762376456,1.6932248762376456,0.0,0.47181775753858873,1444,3296.4,63.2,0.9714285714285713,0.9933333333333334,0.039999999999999994,1.0,0.47181775753858873
r273c mutation met,3,-2.1625416324843783,2.1625416324843783,0.0,0.7862103108547993,554,1104.0,44.666666666666664,1.0,1.0,0.14444444444444446,1.0,0.47172618651287956
counseling. -,4,-1.7765665416143408,1.7765665416143408,0.0,0.5895823729675985,780,3339.0,64.75,1.0,0.9916666666666667,0.09166666666666667,1.0,0.4716658983740788
continue pembrolizumab,5,1.6729846019202121,1.6729846019202121,1.0,0.47158776962631493,1032,4389.2,85.6,1.0,1.0,0.03333333333333333,1.0,0.47158776962631493
g12c inhibition with,5,1.7874388337490679,1.7874388337490679,1.0,0.47158373600429726,1868,2806.4,85.6,1.0,0.9866666666666667,0.019999999999999997,1.0,0.47158373600429726
exercise program,4,1.8033343587587012,1.8033343587587014,1.0,0.5894032705476553,663,2255.0,61.25,1.0,1.0,0.09166666666666667,1.0,0.4715226164381242
unchanged from baseline.,5,1.3655267935810513,1.3655267935810513,1.0,0.47145369792746444,299,7339.2,90.4,1.0,0.9400000000000001,0.07333333333333333,1.0,0.47145369792746444
lesions in,5,1.6820440937179513,1.6820440937179513,1.0,0.4714132287841551,1013,3616.6,421.6,1.0,0.9933333333333334,0.03333333333333333,1.0,0.4714132287841551
- source,5,-1.6344103627113082,1.6344103627113082,0.0,0.47131754196408704,1358,3940.2,75.2,1.0,0.9933333333333334,0.04666666666666667,1.0,0.47131754196408704
neoplastic glands and,5,-1.4430615173367984,1.4430615173367982,0.0,0.47123145422924634,533,5881.4,68.0,1.0,0.96,0.07333333333333333,1.0,0.47123145422924634
versus metastatic,5,-1.5035433005529364,1.5035433005529366,0.0,0.47115658991886616,559,5684.2,102.4,1.0,0.9666666666666666,0.06,1.0,0.47115658991886616
positive pd-l1,1,-2.944622152422746,2.944622152422746,0.0,2.3556977219381965,76,76.0,58.0,1.0,1.0,0.7333333333333333,1.0,0.4711395443876393
in the arterial,5,1.7231945828642083,1.7231945828642083,1.0,0.4708593594497488,1216,3314.0,74.4,1.0,1.0,0.026666666666666665,1.0,0.4708593594497488
20 100 dyspnea,5,-1.5702508379799371,1.5702508379799371,0.0,0.47083653839158474,1039,4504.8,190.4,1.0,0.9933333333333334,0.05333333333333333,1.0,0.47083653839158474
carbonate vitamin d,5,-1.6707391375839786,1.6707391375839786,0.0,0.4707780419818892,817,3600.2,101.6,1.0,0.9933333333333334,0.03333333333333333,1.0,0.4707780419818892
cm . 3.,5,1.6186605468504762,1.6186605468504762,1.0,0.47071377621162036,1156,3873.8,88.8,0.9714285714285713,0.9866666666666667,0.05333333333333333,1.0,0.47071377621162036
sick contacts.,5,1.7447715899022647,1.7447715899022647,1.0,0.4704565338201899,1645,2838.0,65.6,1.0,0.9933333333333334,0.026666666666666665,1.0,0.4704565338201899
iv kras-mutated lung,5,-1.6920253621090686,1.6920253621090686,0.0,0.4704343476657799,2012,2715.4,75.2,1.0,0.9933333333333334,0.04,1.0,0.4704343476657799
are available in,5,-1.4703479532784978,1.470347953278498,0.0,0.47041803932371035,659,4818.0,100.0,1.0,0.9866666666666667,0.07333333333333333,1.0,0.47041803932371035
tumor-suppressor,5,-1.6674391045801453,1.6674391045801453,0.0,0.4703674669547597,912,3838.2,479.2,1.0,1.0,0.03333333333333333,1.0,0.4703674669547597
- multivitamin daily,5,-1.513224939645107,1.5132249396451072,0.0,0.4703630977043412,540,5182.4,196.0,1.0,0.9666666666666666,0.06,1.0,0.4703630977043412
cough or hemoptysis.,5,1.5743044264279287,1.5743044264279287,1.0,0.4700284066807153,1050,4220.4,240.8,1.0,0.9933333333333334,0.05333333333333332,1.0,0.4700284066807153
uptake is,5,-1.6330714705414908,1.6330714705414913,0.0,0.469955628735256,1523,3272.8,82.4,1.0,1.0,0.04666666666666667,1.0,0.469955628735256
recent drawn today,5,1.652241082178842,1.652241082178842,1.0,0.469898661801256,1426,3484.6,137.6,1.0,1.0,0.04,1.0,0.469898661801256
100 fatigue,5,-1.333026634754034,1.333026634754034,0.0,0.4695382974208777,479,10108.6,754.4,0.8,0.8733333333333334,0.08666666666666667,1.0,0.4695382974208777
at 3 ml,5,1.3116045406778851,1.3116045406778853,1.0,0.46949626298405434,351,8143.8,543.2,0.9714285714285713,0.9666666666666666,0.07999999999999999,1.0,0.46949626298405434
or hearing,5,1.6547914651077265,1.6547914651077265,1.0,0.46944096625367165,1308,3577.8,72.8,1.0,0.9866666666666667,0.04,1.0,0.46944096625367165
chosen.,5,-1.348360557191071,1.348360557191071,0.0,0.4692742949517303,348,7412.2,73.6,0.9714285714285713,0.96,0.07999999999999999,1.0,0.4692742949517303
mediastinal nodes stations,5,-1.5383697974854074,1.5383697974854071,0.0,0.4692401493530111,1026,4605.6,114.4,1.0,0.9800000000000001,0.06,1.0,0.4692401493530111
masses or,5,1.6081147693793318,1.6081147693793318,1.0,0.46919769165530056,1233,4376.8,312.0,1.0,0.9733333333333334,0.04666666666666667,1.0,0.46919769165530056
analgesic,5,-1.212377832149522,1.2123778321495222,0.0,0.469166962016597,242,11393.6,122.4,0.7714285714285715,0.9199999999999999,0.09333333333333334,1.0,0.469166962016597
grade 1 neuropathy,5,1.6211848764532832,1.6211848764532832,1.0,0.4691589147911671,1408,3727.2,122.4,1.0,0.9933333333333334,0.04666666666666667,1.0,0.4691589147911671
% -,5,1.6217646937477448,1.6217646937477448,1.0,0.4690518291262107,1041,3826.4,451.2,0.9714285714285715,1.0,0.04666666666666667,1.0,0.4690518291262107
ct demonstrated,5,-1.4781735521509778,1.4781735521509778,0.0,0.4690467365409847,720,4474.0,258.4,1.0,0.9733333333333334,0.07333333333333333,1.0,0.4690467365409847
loss 2,5,1.6296140720021743,1.6296140720021743,1.0,0.46886072845044824,1654,3192.6,97.6,1.0,1.0,0.04666666666666667,1.0,0.46886072845044824
supportive care continue,5,-1.3752405668457193,1.3752405668457195,0.0,0.4687700027873249,393,7547.4,220.0,0.9714285714285713,0.9199999999999999,0.07333333333333333,1.0,0.4687700027873249
intra-hepatic biliary,5,1.7475174724281188,1.7475174724281186,1.0,0.46870837840633295,1407,4431.0,95.2,0.8571428571428571,1.0,0.03333333333333333,1.0,0.46870837840633295
continue pembrolizumab 200,5,1.6418193672093087,1.6418193672093087,1.0,0.4683475898274967,1393,3920.6,63.2,1.0,0.9933333333333334,0.04,1.0,0.4683475898274967
the upcoming,5,1.4286901628281683,1.4286901628281683,1.0,0.46821552171380654,373,6830.2,105.6,1.0,0.96,0.06666666666666667,1.0,0.46821552171380654
no weakness,5,1.3002925448086717,1.5909365511877183,0.8,0.5852376035045165,190,6211.8,380.8,0.8571428571428571,0.9733333333333334,0.1,0.8,0.4681900828036132
abdomen adrenal glands,4,-1.7370784578812748,1.7370784578812748,0.0,0.5852313742066493,719,2312.75,57.25,1.0,0.9916666666666667,0.10833333333333334,1.0,0.46818509936531943
buffered formalin,5,1.6403856750304944,1.640385675030494,1.0,0.46817120110902505,1174,3913.4,142.4,1.0,1.0,0.04,1.0,0.46817120110902505
neutral buffered formalin,5,1.6403856750304944,1.640385675030494,1.0,0.46817120110902505,1173,3913.2,142.4,1.0,1.0,0.04,1.0,0.46817120110902505
combination regimens,5,-1.5961541417194525,1.5961541417194522,0.0,0.46812445070950304,1162,4661.2,102.4,1.0,0.9866666666666667,0.04666666666666667,1.0,0.46812445070950304
nsclc kras g12c,5,1.6205646095951523,1.6205646095951523,1.0,0.4681073542761679,679,4814.6,132.8,0.9714285714285713,0.9933333333333334,0.04,1.0,0.4681073542761679
neurologic peripheral,5,1.518992402953818,1.5189924029538178,1.0,0.46798958103577115,567,4984.0,186.4,1.0,0.9933333333333334,0.05333333333333333,1.0,0.46798958103577115
- no hepatic,5,-1.414681488933681,1.43221515747038,0.2,0.584707345876447,159,8498.4,84.0,1.0,0.8933333333333333,0.11333333333333333,0.8,0.4677658767011577
dimension.,5,-1.6114070618245386,1.6114070618245386,0.0,0.467712346471403,991,3439.6,237.6,1.0,1.0,0.04666666666666667,1.0,0.467712346471403
to physical,5,1.562843795079496,1.5628437950794962,1.0,0.46746104038784086,1023,5247.0,311.2,1.0,0.96,0.05333333333333333,1.0,0.46746104038784086
and to,5,-1.4208595109001048,1.420859510900105,0.0,0.46743514155338267,494,7114.4,514.4,1.0,0.9533333333333334,0.06666666666666667,1.0,0.46743514155338267
available.,5,1.665926495441704,1.665926495441704,1.0,0.4674188370805766,935,3424.0,207.2,1.0,1.0,0.03333333333333333,1.0,0.4674188370805766
drawn,5,1.6590762807947517,1.6590762807947517,1.0,0.4673661619870777,877,3731.0,708.8,1.0,0.9933333333333334,0.03333333333333333,1.0,0.4673661619870777
mass right,5,-1.6000238172446053,1.6000238172446053,0.0,0.46691556920134636,1210,3974.4,160.0,1.0,0.9933333333333334,0.04666666666666667,1.0,0.46691556920134636
erbb2 her2 no,5,-1.664053169347683,1.6640531693476828,0.0,0.46688281802636844,1041,3390.2,73.6,1.0,1.0,0.03333333333333333,1.0,0.46688281802636844
mutations - -,5,-1.4478763716350393,1.4478763716350393,0.0,0.4668268637244225,506,5885.4,89.6,0.9714285714285713,0.9866666666666667,0.06666666666666667,1.0,0.4668268637244225
6 copies,5,1.4318891784545735,1.4318891784545733,1.0,0.4666548040316272,700,9166.4,120.8,1.0,0.8866666666666667,0.06666666666666667,1.0,0.4666548040316272
abdomen adrenal,4,-1.7312004731343094,1.7312004731343094,0.0,0.5831559943223457,725,2326.5,58.0,1.0,0.9916666666666667,0.10833333333333334,1.0,0.4665247954578765
% in,5,1.675907991352402,1.675907991352402,1.0,0.46651806189111805,1028,3966.4,60.8,0.9714285714285713,1.0,0.03333333333333334,1.0,0.46651806189111805
health status 45,5,-1.3839652300592054,1.3839652300592054,0.0,0.4664807919298072,360,6436.8,82.4,1.0,0.9733333333333334,0.07333333333333333,1.0,0.4664807919298072
status 45,5,-1.3839652300592054,1.3839652300592054,0.0,0.4664807919298072,359,6436.6,82.4,1.0,0.9733333333333334,0.07333333333333333,1.0,0.4664807919298072
lesions. 4.,5,1.6418492106012643,1.6418492106012643,1.0,0.4663787342715883,1034,4260.4,64.8,1.0,0.9733333333333334,0.04,1.0,0.4663787342715883
92,5,-1.6432741867041039,1.6432741867041034,0.0,0.46616887625573045,1227,3453.8,577.6,1.0,0.9933333333333334,0.039999999999999994,1.0,0.46616887625573045
period of 60,5,-1.521265822480806,1.521265822480806,0.0,0.4660985042383408,1119,4069.4,69.6,1.0,0.9866666666666667,0.06666666666666667,1.0,0.4660985042383408
45. -,5,-1.5614672592105154,1.5614672592105154,0.0,0.4660319469442416,853,5527.6,99.2,0.9428571428571428,0.9866666666666667,0.05333333333333333,1.0,0.4660319469442416
within normal,5,-1.6568588801497004,1.6568588801497004,0.0,0.46602675620439343,868,3526.2,722.4,1.0,1.0,0.03333333333333333,1.0,0.46602675620439343
1.1 criteria. ---,5,-1.5992530535617298,1.5992530535617298,0.0,0.4659261064510714,1043,5167.4,112.8,1.0,0.96,0.04666666666666666,1.0,0.4659261064510714
hepatitis b c,5,1.6315361065671632,1.6315361065671627,1.0,0.46588011670676044,1236,3409.8,79.2,0.9714285714285713,1.0,0.04666666666666667,1.0,0.46588011670676044
del,5,1.4982479616506406,1.4982479616506406,1.0,0.4657134808993698,502,5536.2,68.8,1.0,0.9733333333333334,0.05333333333333333,1.0,0.4657134808993698
targeted regions,5,-1.6518248063624594,1.6518248063624594,0.0,0.4657085999751227,1263,3670.8,65.6,1.0,0.9933333333333334,0.04,1.0,0.4657085999751227
the presence,5,-1.6553874315398847,1.6553874315398844,0.0,0.46564459582401485,1555,3291.4,501.6,1.0,0.9933333333333334,0.04,1.0,0.46564459582401485
the presence of,5,-1.6553874315398847,1.6553874315398844,0.0,0.46564459582401485,1556,3291.6,501.6,1.0,0.9933333333333334,0.04,1.0,0.46564459582401485
8. medications,5,1.3951519205029412,1.3951519205029412,1.0,0.4655427712238801,379,6731.6,62.4,1.0,1.0,0.06666666666666667,1.0,0.4655427712238801
socially,5,1.7493956045177252,1.7493956045177257,1.0,0.46550466751903563,1722,3722.4,67.2,1.0,0.9933333333333334,0.02,1.0,0.46550466751903563
20 100,5,-1.6701418604819807,1.6701418604819804,0.0,0.465483419001768,1717,3167.2,608.0,1.0,0.9800000000000001,0.04,1.0,0.465483419001768
g12c inhibitors are,5,1.7151630648570548,1.7151630648570548,1.0,0.46544304115082313,1580,3148.4,106.4,1.0,1.0,0.026666666666666665,1.0,0.46544304115082313
4.0 g,5,-1.6258563688627157,1.6258563688627157,0.0,0.4652681461720265,1761,3072.0,638.4,1.0,1.0,0.04666666666666667,1.0,0.4652681461720265
touch in distal,5,1.6328780416013928,1.6328780416013928,1.0,0.46520791303484116,1214,3451.4,85.6,1.0,1.0,0.04,1.0,0.46520791303484116
slight reduction,5,-1.6136461747196975,1.613646174719698,0.0,0.4651629516649612,895,4119.8,67.2,1.0,0.9933333333333334,0.04,1.0,0.4651629516649612
peritoneal,5,1.4158273340304863,1.4158273340304863,1.0,0.4650890629399521,333,8531.8,136.8,0.9714285714285715,0.8733333333333334,0.06,1.0,0.4650890629399521
albumin 4.0,5,-1.6253723829322475,1.6253723829322475,0.0,0.46506070768094243,1771,3076.6,638.4,1.0,1.0,0.04666666666666667,1.0,0.46506070768094243
pathology molecular findings,5,1.629529868631203,1.629529868631203,1.0,0.46496754640736226,1007,4360.6,81.6,1.0,0.9733333333333334,0.04,1.0,0.46496754640736226
depression reported ---,5,-1.3848306409471,1.3848306409471003,0.0,0.4648030078793249,295,7923.2,73.6,0.8285714285714285,0.9733333333333334,0.07333333333333333,1.0,0.4648030078793249
mass primary tumor,5,-1.641427765614813,1.641427765614813,0.0,0.4647280130299281,1497,3437.2,105.6,1.0,0.9933333333333334,0.04,1.0,0.4647280130299281
72 bpm rr,5,1.440110508839357,1.440110508839357,1.0,0.4645207062907007,598,7365.0,156.0,0.8571428571428571,0.9800000000000001,0.07333333333333333,1.0,0.4645207062907007
performed 3 months,5,1.614575239414254,1.614575239414254,1.0,0.4645028131781803,633,4446.8,112.0,0.9714285714285713,0.9733333333333334,0.04,1.0,0.4645028131781803
axis .,5,1.6856288387239573,1.6856288387239573,1.0,0.4644633563943573,1772,2857.2,134.4,1.0,1.0,0.03333333333333333,1.0,0.4644633563943573
pembro 200,5,1.5214236409117956,1.5214236409117956,1.0,0.46435925300042175,578,5369.8,84.8,0.9714285714285713,0.9933333333333334,0.05333333333333333,1.0,0.46435925300042175
pembro 200 mg,5,1.5214236409117956,1.5214236409117956,1.0,0.46435925300042175,577,5369.6,84.8,0.9714285714285713,0.9933333333333334,0.05333333333333333,1.0,0.46435925300042175
profile mild,5,1.5835219936763136,1.5835219936763139,1.0,0.46423585928433386,807,4176.6,72.8,1.0,0.9866666666666667,0.04666666666666667,1.0,0.46423585928433386
hypodense,5,1.6869814827013916,1.6869814827013918,1.0,0.46402101997312145,1617,3015.0,310.4,1.0,1.0,0.03333333333333333,1.0,0.46402101997312145
proceed with,5,1.6172953271419643,1.6172953271419643,1.0,0.4639919690253775,1329,3155.0,316.0,1.0,1.0,0.04666666666666667,1.0,0.4639919690253775
burden of,5,1.563886795831482,1.563886795831482,1.0,0.46395144417753825,676,4548.8,93.6,1.0,0.9933333333333334,0.04666666666666667,1.0,0.46395144417753825
despite high,5,1.444506975947077,1.4445069759470772,1.0,0.46388753267333926,791,6706.0,64.0,1.0,0.9533333333333334,0.06666666666666668,1.0,0.46388753267333926
- dexamethasone,5,1.6122761359266824,1.6122761359266824,1.0,0.46387829188881274,820,3922.2,260.8,0.9714285714285713,0.9933333333333334,0.04666666666666667,1.0,0.46387829188881274
antineoplastic immunotherapy procedure,3,2.0944389775656593,2.0944389775656593,1.0,0.7725779499448877,385,1985.6666666666667,54.666666666666664,1.0,0.9888888888888889,0.13333333333333333,1.0,0.4635467699669326
55 y,5,-1.641564477524567,1.641564477524567,0.0,0.46354298542631217,499,6312.4,55.2,0.6857142857142857,0.9866666666666667,0.06,1.0,0.46354298542631217
a newly identified,2,-2.4315299675582076,2.4315299675582076,0.0,1.1588497053599855,334,435.0,61.0,1.0,1.0,0.3,1.0,0.4635398821439942
low-dose oral prednisone,5,1.7168735859605309,1.7168735859605313,1.0,0.4635251463586024,988,3623.4,64.8,1.0,1.0,0.02,1.0,0.4635251463586024
is here,5,-1.5386807959297124,1.5386807959297124,0.0,0.46335913512997096,1162,4336.4,65.6,1.0,0.9866666666666667,0.06,1.0,0.46335913512997096
with activity,5,1.5494267720767017,1.5494267720767014,1.0,0.46312539735988734,1331,4916.0,110.4,0.9714285714285713,0.9866666666666667,0.06,1.0,0.46312539735988734
necrosis is identified.,5,-1.3026030264724184,1.3026030264724182,0.0,0.46309262165397724,333,8738.0,208.0,0.9714285714285713,0.9466666666666667,0.07333333333333333,1.0,0.46309262165397724
no prior oncologic,5,-1.715028470019043,1.715028470019043,0.0,0.46305183387817533,1903,2919.2,66.4,1.0,0.9933333333333334,0.026666666666666665,1.0,0.46305183387817533
data baseline -,5,-1.5056742821927136,1.5056742821927136,0.0,0.4630484381799421,587,5369.4,65.6,0.9714285714285715,0.9733333333333334,0.06000000000000001,1.0,0.4630484381799421
. <br>,5,-1.642067315679359,1.642067315679359,0.0,0.4627002644434038,1613,3554.8,115.2,1.0,0.9866666666666667,0.04,1.0,0.4627002644434038
resources.,5,1.6627531964528164,1.6627531964528164,1.0,0.4626660545115452,901,3677.6,170.4,0.9714285714285713,1.0,0.03333333333333333,1.0,0.4626660545115452
single-nucleotide variants snvs,5,1.3974807237616094,1.3974807237616094,1.0,0.46258174741550084,422,6525.8,276.0,1.0,0.9666666666666666,0.06666666666666667,1.0,0.46258174741550084
variants snvs,5,1.3974807237616094,1.3974807237616094,1.0,0.46258174741550084,421,6526.0,276.0,1.0,0.9666666666666666,0.06666666666666667,1.0,0.46258174741550084
maintaining,5,1.3571832247849691,1.3571832247849691,1.0,0.4625564199184223,553,8244.6,275.2,1.0,0.9133333333333333,0.08,1.0,0.4625564199184223
both adrenal glands,5,1.6861292287724694,1.6861292287724694,1.0,0.462503208485487,1138,5019.2,80.0,0.8857142857142858,0.9866666666666667,0.03333333333333334,1.0,0.462503208485487
daily - multivitamin,5,-1.6105108431434938,1.6105108431434938,0.0,0.46244361276160395,850,4181.6,91.2,1.0,0.9866666666666667,0.039999999999999994,1.0,0.46244361276160395
l 44-147,5,1.6903125752533743,1.6903125752533743,1.0,0.4622156036974981,1447,3681.2,72.8,1.0,0.9933333333333334,0.026666666666666665,1.0,0.4622156036974981
u l 44-147,5,1.6903125752533743,1.6903125752533743,1.0,0.4622156036974981,1446,3681.0,72.8,1.0,0.9933333333333334,0.026666666666666665,1.0,0.4622156036974981
initiate primary,5,1.3307505747560824,1.3307505747560824,1.0,0.46208976889764575,332,8069.8,90.4,1.0,0.9199999999999999,0.07333333333333333,1.0,0.46208976889764575
with ondansetron and,5,1.3830811168388515,1.3830811168388515,1.0,0.46205017252339414,561,6435.6,230.4,0.9714285714285715,0.9800000000000001,0.08,1.0,0.46205017252339414
vaf 28 %,5,-1.4793015639781673,1.4793015639781673,0.0,0.4620291151912387,582,6089.4,138.4,0.9714285714285713,0.9733333333333334,0.06,1.0,0.4620291151912387
1 4 mild,5,-1.5371187333009484,1.5371187333009484,0.0,0.46195622692811505,789,5794.4,704.8,1.0,0.9333333333333332,0.05333333333333333,1.0,0.46195622692811505
structures.,5,-1.5199691781191977,1.519969178119198,0.0,0.4617918349556696,1162,4529.0,256.0,0.9714285714285713,0.9800000000000001,0.06666666666666667,1.0,0.4617918349556696
or platelets,5,-1.7012058904496754,1.7012058904496754,0.0,0.46172826715067466,1556,2998.0,288.0,1.0,1.0,0.026666666666666665,1.0,0.46172826715067466
respiratory no dyspnea,5,1.521117755952751,1.521117755952751,1.0,0.4616025706863095,947,6338.0,136.0,0.8857142857142858,0.96,0.06,1.0,0.4616025706863095
metastasis in segment,5,1.5078809075910091,1.5078809075910091,1.0,0.4615950640143243,861,6787.4,124.0,0.9714285714285713,0.96,0.05333333333333333,1.0,0.4615950640143243
his most,5,-1.4285884131525433,1.4285884131525433,0.0,0.4615412441406466,454,5970.8,70.4,1.0,0.9733333333333334,0.06666666666666667,1.0,0.4615412441406466
his most recent,5,-1.4285884131525433,1.4285884131525433,0.0,0.4615412441406466,455,5970.6,70.4,1.0,0.9733333333333334,0.06666666666666667,1.0,0.4615412441406466
cardiovascular no palpitations,4,-1.8672534141560246,1.8672534141560246,0.0,0.5768861385438983,1073,1988.5,64.5,1.0,1.0,0.075,1.0,0.4615089108351186
agents e.g. sotorasib,5,-1.413547903202368,1.413547903202368,0.0,0.46140699200316454,516,6370.2,104.0,1.0,0.9733333333333334,0.06666666666666667,1.0,0.46140699200316454
or pneumothorax. -,5,1.609168585395187,1.609168585395187,1.0,0.46137289539032383,889,4222.4,87.2,1.0,0.9866666666666667,0.039999999999999994,1.0,0.46137289539032383
- dexamethasone 4,5,1.678059297031891,1.678059297031891,1.0,0.4613488529303712,1454,3558.0,207.2,0.9714285714285713,1.0,0.03333333333333333,1.0,0.4613488529303712
- stage iv,5,-1.5566466849014335,1.5566466849014335,0.0,0.46131374249033563,654,4510.2,641.6,1.0,0.9800000000000001,0.04666666666666667,1.0,0.46131374249033563
hgb 11.8 g,5,-1.6241069370357502,1.6241069370357502,0.0,0.4612964750407339,1033,3505.4,284.0,1.0,1.0,0.04,1.0,0.4612964750407339
on pet,5,-1.6337690739811137,1.6337690739811137,0.0,0.4612665529289113,1646,3320.0,128.8,1.0,1.0,0.04,1.0,0.4612665529289113
1-49%,5,-1.1743871525949703,1.1743871525949703,0.0,0.4611725401223306,252,10142.4,85.6,1.0,0.8933333333333333,0.09333333333333334,1.0,0.4611725401223306
no additional pathogenic,5,-1.3006553520092308,1.3006553520092305,0.0,0.461081490490675,370,8880.4,82.4,0.9714285714285713,0.9466666666666667,0.07999999999999999,1.0,0.461081490490675
- no rearrangement,5,1.5120251030988068,1.5120251030988068,1.0,0.4610299122038758,611,4924.6,62.4,1.0,0.9866666666666667,0.05333333333333333,1.0,0.4610299122038758
assessment of disease,5,1.615934573800659,1.615934573800659,1.0,0.4608919641342634,1314,4012.8,188.8,1.0,0.9866666666666667,0.04,1.0,0.4608919641342634
chemo,5,-1.6404440301728656,1.6404440301728656,0.0,0.46086369981148145,1923,3363.8,160.0,1.0,0.9866666666666667,0.039999999999999994,1.0,0.46086369981148145
headache weakness,5,-1.7310166777789209,1.7310166777789213,0.0,0.46084741799997647,1237,4813.0,74.4,0.8285714285714286,1.0,0.03333333333333334,1.0,0.46084741799997647
<100,5,-1.6178420435411216,1.6178420435411218,0.0,0.4607173799493379,1273,4275.2,136.8,1.0,0.9733333333333334,0.04,1.0,0.4607173799493379
decline in,5,-1.3877423546569434,1.3877423546569434,0.0,0.46068608383558374,354,6726.6,80.8,0.9714285714285713,0.9733333333333334,0.06666666666666667,1.0,0.46068608383558374
implications -,5,-1.650555425615217,1.6505554256152166,0.0,0.4605505195595862,1481,3450.0,122.4,1.0,1.0,0.03333333333333334,1.0,0.4605505195595862
loss heterozygous,5,-1.5921208852634956,1.5921208852634956,0.0,0.46039863055713737,1472,3932.0,69.6,1.0,0.9933333333333334,0.04666666666666667,1.0,0.46039863055713737
prior therapy,5,1.5251122473536007,1.525112247353601,1.0,0.46033266274518103,719,5607.0,183.2,1.0,0.9533333333333334,0.05333333333333333,1.0,0.46033266274518103
body with,5,-1.4457758458653025,1.4457758458653025,0.0,0.4602875285166353,405,7387.0,61.6,1.0,0.9266666666666665,0.05333333333333333,1.0,0.4602875285166353
l 7-56 albumin,5,-1.5616488795423578,1.5616488795423578,0.0,0.4602055072186199,1427,4024.8,178.4,1.0,0.9933333333333334,0.05333333333333333,1.0,0.4602055072186199
30-pack-year,5,1.6608732598116571,1.6608732598116571,1.0,0.45995328752307774,1279,3845.8,565.6,0.9428571428571428,0.9933333333333334,0.039999999999999994,1.0,0.45995328752307774
in both upper,5,-1.6197948314628134,1.6197948314628134,0.0,0.45986215593110236,1636,4100.0,68.0,1.0,0.9866666666666667,0.04,1.0,0.45986215593110236
comprehensive solid-tumor panel,5,-1.474766871362259,1.474766871362259,0.0,0.45984974967829617,604,5013.8,92.8,1.0,0.9866666666666667,0.06,1.0,0.45984974967829617
neutropenia and when,5,1.6211063656721987,1.6211063656721987,1.0,0.4597992993219215,885,3845.6,175.2,0.9428571428571428,0.9866666666666667,0.04666666666666666,1.0,0.4597992993219215
the rationale,5,1.5719946730315697,1.5719946730315697,1.0,0.4596554431540369,917,4409.8,58.4,1.0,0.9800000000000001,0.04666666666666667,1.0,0.4596554431540369
structural rearrangements,5,-1.6556433113460869,1.6556433113460873,0.0,0.45965231008406243,1554,4051.2,169.6,1.0,0.9733333333333334,0.03333333333333333,1.0,0.45965231008406243
24 u,5,1.6518507749519427,1.6518507749519427,1.0,0.45958994100419537,1597,3168.4,264.0,0.9714285714285713,1.0,0.04,1.0,0.45958994100419537
additional pathogenic,5,-1.2937655979007172,1.293765597900717,0.0,0.4594306822267876,369,8960.0,83.2,0.9714285714285713,0.9466666666666667,0.07999999999999999,1.0,0.4594306822267876
lobe .,5,-1.5515858429930325,1.5515858429930325,0.0,0.4594229257278644,597,4824.6,105.6,1.0,0.9866666666666667,0.04,1.0,0.4594229257278644
next 2,5,-1.6339866668765972,1.6339866668765972,0.0,0.45941149193660846,988,3578.4,83.2,1.0,1.0,0.03333333333333333,1.0,0.45941149193660846
normal in size,5,1.725509408236825,1.725509408236825,1.0,0.4592741950387326,1398,3133.4,191.2,1.0,0.9933333333333334,0.02,1.0,0.4592741950387326
limits no,5,-1.6394675207247071,1.6394675207247071,0.0,0.45924948619320016,1344,4757.4,142.4,0.8857142857142858,0.9933333333333334,0.04666666666666667,1.0,0.45924948619320016
no wheezing,5,1.7212009766159828,1.7212009766159828,1.0,0.45886525469419254,1386,3523.2,269.6,1.0,0.9933333333333334,0.02,1.0,0.45886525469419254
pd-l1 >= 50%,5,1.6434612757169258,1.6434612757169258,1.0,0.45880559764203943,1191,3727.8,72.0,1.0,0.9933333333333334,0.03333333333333334,1.0,0.45880559764203943
with 1.25-mm slice,5,-1.4243489742249489,1.4243489742249489,0.0,0.45878571511919,503,5975.2,224.8,0.9714285714285713,0.9933333333333334,0.06666666666666667,1.0,0.45878571511919
anc 4.0 k,5,-1.4918892531785435,1.4918892531785435,0.0,0.45870285378368447,522,5983.4,61.6,0.9714285714285713,0.9866666666666667,0.05333333333333333,1.0,0.45870285378368447
- lungs -,5,-1.7455069328486779,1.7455069328486779,0.0,0.4586753697476368,2211,2854.2,135.2,1.0,0.9866666666666667,0.02,1.0,0.4586753697476368
to total reads,5,-1.1657160559230715,1.1657160559230717,0.0,0.4586143689302786,228,10657.4,98.4,1.0,0.9266666666666667,0.08666666666666667,1.0,0.4586143689302786
